Општина,Населено место,Градба/место
Битола,Битола,Станбен објект на ул. „Рузвелтова“ бр. 26
Битола,Битола,Станбен објект на ул. „Рузвелтова“ бр. 7
Битола,Битола,Станбен објект на ул. „Рузвелтова“ бр. 24
Битола,Битола,Станбен објект на ул. „Славко Лумбарко“ бр. 3
Битола,Битола,Еврејски гробишта
Битола,Битола,Ислахане
Битола,Буково,Археолошко наоѓалиште „Тумба“
Битола,Велушина,Велушка Тумба
Битола,Велушина,Археолошко наоѓалиште „Света Богородица Пречиста“
Битола,Велушина,Црква „Успение на Пресвета Богородица“
Битола,Велушина,Манастир „Свети Ѓорѓи“
Битола,Гопеш,Црква „Свето Преображение“
Битола,Канино,Тумба
Битола,Крстоар,Манастир „Свети Христофор“
Битола,Маловиште,Куќа на Ванку на Папе
Битола,Маловиште,Рурална споменичка целина Маловиште
Битола,Рамна,Раменска Тумба
Битола,Рамна,Раменска Грмада
Битола,Српци,Висои
Битола,Српци,Грамадиште
Битола,Цапари,Црква „Св. Петка“
Битола,Средно Егри,Лагитница
Битола,Средно Егри,Црква „Св. Архангел Михаил“
Битола,Стрежево,Кале
Брвеница,Челопек,Црква „Св. Никола“
Валандово,Валандово,Археолошко наоѓалиште „Стакина Чешма“
Валандово,Валандово,Археолошко наоѓалиште „Исар Кале“
Валандово,Градец,Археолошко наоѓалиште „Градиште“
Валандово,Дедели,Археолошко наоѓалиште „Каракуш“
Валандово,Марвинци,Исар
Валандово,Удово,Спомен-костурница
Вевчани,Вевчани,"Костојчинов вир, валавица и воденица"
Вевчани,Вевчани,Куќа на Коруновци
Вевчани,Вевчани,Куќа на Дуцкиновци
Вевчани,Вевчани,Куќа на Костојчиновци
Вевчани,Вевчани,Куќа на Ќитановци
Вевчани,Вевчани,Куќа на Пешиновци
Вевчани,Вевчани,Куќа на Плушковци
Вевчани,Вевчани,Куќа на Калајџиевци
Вевчани,Вевчани,Куќа на Гоговци
Вевчани,Вевчани,Куќа на Даскаловци
Вевчани,Вевчани,Куќа на Поповци
Велес,Велес,Партизански гробишта
Велес,Велес,Спомен-куќа на Васил Главинов
Велес,Велес,Куќа на ул. „Јован Алабакот“ бр. 1
Велес,Велес,Куќа на Прнарови
Велес,Велес,Куќа на Тренчови
Велес,Велес,Куќа на Чокалови
Велес,Велес,Куќа на ул. „Јован Алабакот“ бр. 8
Велес,Велес,Куќа на Паунови
Велес,Велес,Куќа на ул. „Максим Горки“ бр. 73
Велес,Велес,Куќа на ул. „Петар Михов“ бр. 3
Велес,Велес,Куќа на ул. „Јордан Хаџи Константинов-Џинот“ бр. 7
Велес,Велес,Куќа на ул. „Владимир Назор“ бр. 34
Велес,Велес,Куќа на ул. „Коле Цветков“ бр. 15
Велес,Велес,Црква „Св. Ѓорѓи“
Велес,Велес,Црква „Св. Марко“
Велес,Велес,Црква „Св. Спас“
Велес,Велес,Црква „Св. Пантелејмон“
