Број,Општина,Населено место,Градба/место,Фотографија,Unnamed: 5
46,Битола (162),Битола,Куќа на ул. „Елпида Караманди“ бр. 4,,
47,Битола (162),Битола,Куќа на бул. „Први мај“ бр. 64,,
48,Битола (162),Битола,Куќа на ул. „Борка Левата“ бр. 6,,
49,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 78,,
50,Битола (162),Битола,Куќа на ул. „11 октомври“ бр.,,
51,Битола (162),Битола,Куќа на ул. „Стево Патако“ бр. 8,,
52,Битола (162),Битола,Куќа на ул. „Караорман“ бр. 9,,
53,Битола (162),Битола,Куќа на ул. „Климент Охридски“ бр. 5,,
54,Битола (162),Битола,Куќа на ул. „Страшо Пинџур“ бр. 3,,
55,Битола (162),Битола,Куќа на ул. „Охридска“ бр. 100,,
56,Битола (162),Битола,Офицерски дом,,
57,Битола (162),Битола,Објект на Стопанска банка,,
58,Битола (162),Битола,Објект на ОК на СКМ,,
59,Битола (162),Битола,"Објект на поранешната касарна „Стив Наумов“, ул. „Партизанска“ и ул. „Климент Охридски“",,
60,Битола (162),Битола,Објект на Митрополијата,,
61,Битола (162),Битола,Објект на старата Општина,,
62,Битола (162),Битола,Куќа на ул. Пецо Божиновски” бр. 11 – Меморијален музеј „Стив Наумов“,,
63,Битола (162),Битола,Спомен-музеј на Гоце Делче,,
64,Битола (162),Битола,Основно училиште „Кирил и Методиј“,,
65,Битола (162),Битола,Спомен-чешма во дворот на поранешната богословија,,
66,Битола (162),Битола,Саат-кула,,
67,Битола (162),Битола,Старо градско јадро,,
68,Битола (162),Битола,Адвентистичка црква,,
69,Битола (162),Битола,Црква „Св. Димитриј“,,
70,Битола (162),Битола,Црква „Св. Богородица“,,
71,Битола (162),Битола,Битолска чаршија,,
72,Битола (162),Битола,Коџа-кади џамија,,
73,Битола (162),Битола,Хамза-бегова џамија,,
74,Битола (162),Битола,Ајдар-кади џамија,,
75,Битола (162),Битола,Јени џамија,,
76,Битола (162),Битола,Исак џамија,,
76,Битола (162),Битола,Дебој амам,200п,
77,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 102 со спомен плоча за Милтон Манаки,,
78,Битола (162),Битола,Куќа на ул. „Далматинска“ бр. 18,,
79,Битола (162),Битола,Куќа на ул. „Славко Лумбарко“ бр. 6,,
80,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 26,,
81,Битола (162),Битола,Куќа на ул. „Браќа Мингови“ бр. 5,,
82,Битола (162),Битола,Куќа на ул. „Кирил и Методи“ бр. 14,,
83,Битола (162),Битола,Куќа на ул. „Титов Велес“ бр. 3 и 5,,
84,Битола (162),Битола,Куќа на бул. „Први Мај“ бр. 179 и ул. „Браќа Мингови“,,
85,Битола (162),Битола,Куќа на бул. „Први Мај“ бр. 110,,
86,Битола (162),Битола,Куќа на бул. „Први Мај“ бр. 112,,
87,Битола (162),Битола,Куќа на ул. „Београдска“ бр. 8,,
88,Битола (162),Битола,Куќа на ул. „Трст“ бр. 3,,
89,Битола (162),Битола,Куќа на ул. „Никола Тесла“ бр. 86,,
90,Битола (162),Битола,Куќа на ул. „Београдска“ бр.21,,
91,Битола (162),Битола,Археолошко наоѓалиште „Гургур Тумба“,,
